r1: 0.09959079736449376, r2: 0.20374619487264506, cost: 0.0012520000000000309, freq_dirac: 0.498636
r1: 0.09629372170922483, r2: 0.31961107314471604, cost: 0.01072099999999998, freq_dirac: 0.529344
r1: 0.14351336636995538, r2: 0.3110895228716472, cost: 0.0024799999999999267, freq_dirac: 0.537801
r1: 0.08103412651353437, r2: 0.29849433833601813, cost: 0.010072999999999999, freq_dirac: 0.517785
r1: 0.0848350785206881, r2: 0.2826140796855709, cost: 0.008175000000000043, freq_dirac: 0.513526
r1: 0.10916319247327047, r2: 0.33516452114388434, cost: 0.010460000000000025, freq_dirac: 0.539885
r1: 0.07009031954133374, r2: 0.33322019181192764, cost: 0.01436000000000004, freq_dirac: 0.529341
r1: 0.09289352163201567, r2: 0.21649916004509306, cost: 0.0007920000000000149, freq_dirac: 0.499725
r1: 0.13592924897078942, r2: 0.28460735419596866, cost: 0.0016249999999999876, freq_dirac: 0.525731
r1: 0.12037880087887627, r2: 0.25259258395643863, cost: 0.0007400000000000739, freq_dirac: 0.512482
r1: 0.0771995803729197, r2: 0.24311943842260936, cost: 0.005149000000000015, freq_dirac: 0.502348
r1: 0.07887783555315092, r2: 0.22417768503500077, cost: 0.0032819999999999516, freq_dirac: 0.499073
r1: 0.11346760056395556, r2: 0.21140412477515486, cost: 0.0023620000000000863, freq_dirac: 0.502187
r1: 0.11357722688527049, r2: 0.26070963282008364, cost: 0.0025040000000000617, freq_dirac: 0.51321
r1: 0.14016254829270164, r2: 0.20595354644601258, cost: 0.006249999999999978, freq_dirac: 0.505725
r1: 0.07600325686115775, r2: 0.2877781339449852, cost: 0.009400000000000075, freq_dirac: 0.513309
r1: 0.0892880577417887, r2: 0.3061495683407654, cost: 0.009974000000000038, freq_dirac: 0.522231
r1: 0.09718046055050457, r2: 0.28661481846166736, cost: 0.007232999999999934, freq_dirac: 0.51724
r1: 0.09959079736449376, r2: 0.2589299038289618, cost: 0.004125999999999963, freq_dirac: 0.509896
r1: 0.08326051569840731, r2: 0.3959037358085726, cost: 0.02022400000000002, freq_dirac: 0.577324
r1: 0.09237081214069551, r2: 0.251137386150415, cost: 0.004198999999999953, freq_dirac: 0.506651
r1: 0.11606915568410205, r2: 0.2388532611491045, cost: 7.199999999996098e-05, freq_dirac: 0.508306
r1: 0.09409970354859382, r2: 0.2385996794657381, cost: 0.0027810000000000334, freq_dirac: 0.504205
r1: 0.11240662873949482, r2: 0.23883248782261768, cost: 0.0005119999999999569, freq_dirac: 0.507618
r1: 0.12872069762780114, r2: 0.36456636326465197, cost: 0.007641000000000009, freq_dirac: 0.5616
r1: 0.09629922489228313, r2: 0.21691262408259315, cost: 0.00044200000000005346, freq_dirac: 0.500357
r1: 0.10249918343162996, r2: 0.21954844130471035, cost: 0.00015199999999992997, freq_dirac: 0.501871
r1: 0.09298512953935836, r2: 0.21650045094448744, cost: 0.0007780000000000009, freq_dirac: 0.499736
r1: 0.12076594915726943, r2: 0.2912884141214121, cost: 0.004660999999999915, freq_dirac: 0.524307
r1: 0.13729629047165975, r2: 0.22568829805633614, cost: 0.0042639999999999345, freq_dirac: 0.509438
r1: 0.13959143535888013, r2: 0.22595606085556086, cost: 0.0045600000000000085, freq_dirac: 0.509925
r1: 0.10868236846011119, r2: 0.3009701335129725, cost: 0.007232999999999934, freq_dirac: 0.524828
r1: 0.11538392097375151, r2: 0.2842448474895856, cost: 0.004655000000000076, freq_dirac: 0.520627
r1: 0.10005332458414057, r2: 0.31607791912199096, cost: 0.009840999999999989, freq_dirac: 0.528666
r1: 0.1164125275419395, r2: 0.2650318926879606, cost: 0.0025569999999999204, freq_dirac: 0.514955
r1: 0.0728148458253397, r2: 0.3265793188208147, cost: 0.013479999999999936, freq_dirac: 0.526902
r1: 0.11349875264285943, r2: 0.25528943642956753, cost: 0.0019839999999999858, freq_dirac: 0.511801
r1: 0.118446781818792, r2: 0.2520029302080944, cost: 0.0009480000000000599, freq_dirac: 0.511905
r1: 0.06620714228356053, r2: 0.26720149295953277, cost: 0.00839899999999999, freq_dirac: 0.506019
r1: 0.13088013058037898, r2: 0.32032296943286465, cost: 0.005638000000000032, freq_dirac: 0.538518
r1: 0.13592924897078942, r2: 0.2598541049360039, cost: 0.0008209999999999607, freq_dirac: 0.517856
r1: 0.13971464665295913, r2: 0.26070963282008364, cost: 0.0013139999999999263, freq_dirac: 0.519015
r1: 0.11402022678935393, r2: 0.24375901675386294, cost: 0.0007329999999999837, freq_dirac: 0.508997
r1: 0.10783986750762453, r2: 0.23893560984728732, cost: 0.0010809999999999986, freq_dirac: 0.506703
r1: 0.11130011630697631, r2: 0.2168356008590573, cost: 0.0015560000000000018, freq_dirac: 0.502817
r1: 0.12087225778230647, r2: 0.24880911497940453, cost: 0.00027999999999994696, freq_dirac: 0.511571
r1: 0.1235445592798932, r2: 0.23453893645453333, cost: 0.0016539999999999333, freq_dirac: 0.508577
r1: 0.1022809537202543, r2: 0.21007102213938195, cost: 0.0009870000000000712, freq_dirac: 0.500164
r1: 0.1346238883845244, r2: 0.2582313790893818, cost: 0.0007899999999999574, freq_dirac: 0.517107
r1: 0.1457991575915387, r2: 0.383225608683116, cost: 0.0016739999999999533, freq_dirac: 0.577212
r1: 0.11664398105904616, r2: 0.39640155883172434, cost: 0.009747000000000061, freq_dirac: 0.583371
r1: 0.12037880087887627, r2: 0.28032105132193, cost: 0.003591000000000011, freq_dirac: 0.520509
r1: 0.09629922489228313, r2: 0.277076085424842, cost: 0.0064030000000000475, freq_dirac: 0.514157
r1: 0.14974896338593183, r2: 0.28258525491027836, cost: 0.0010140000000000704, freq_dirac: 0.528572
r1: 0.11646506345252905, r2: 0.3816799430352248, cost: 0.011008000000000018, freq_dirac: 0.571185
r1: 0.11764300284801632, r2: 0.2575560253557457, cost: 0.001583000000000001, freq_dirac: 0.513179
r1: 0.12913892963865276, r2: 0.24657486355001612, cost: 0.0011280000000000179, freq_dirac: 0.51276
r1: 0.06447784078003915, r2: 0.39999384437625296, cost: 0.023812999999999973, freq_dirac: 0.577686
r1: 0.12545279823745187, r2: 0.24595208500435414, cost: 0.0007650000000000157, freq_dirac: 0.511734
r1: 0.1380886006596659, r2: 0.24651679176177912, cost: 0.002363000000000004, freq_dirac: 0.514761
r1: 0.09796556059947982, r2: 0.22363830790999895, cost: 0.0008390000000000342, freq_dirac: 0.501847
r1: 0.09358188113745033, r2: 0.37820788709560493, cost: 0.016651000000000082, freq_dirac: 0.56348
r1: 0.13782494057420094, r2: 0.24779428113780838, cost: 0.002222999999999975, freq_dirac: 0.515007
